ID;Score;Text
1;5;Wszystko ok!
2;5;Przepyszny chleb
3;5;Doskona≥y smak
4;3;Smaczne, ale opakowanie przysz≥o uszkodzone
5;1;Znalaz≥em orzech a mam alergiÍ
6;2;Rozerwana paczka
7;1;Otwarta paczka, s≥aba jakoúÊ opakowania.
8;4;Ca≥kiem smaczne
9;1;Orzechy w chlebie - zupe≥nie niepowaøne! Ponadto naderwana paczka
10;4;Bardzo dobry chleb. Dlaczego w úrodku jest orzech?
11;5;Wspania≥y smak i aromat!
12;3;Chlebek niez≥y aczkolwiek nie porwa≥ mnie nadzwyczajnie
13;4;Smak ok
14;2;Wszystko ok, aczkolwiek znalaz≥em orzech w pieczywie. Dziwne
15;5;ok
16;3;åladowe iloúci orzechÛw w chlebie XDDD
17;4;Uszkodzona paczka ale chlebek przepyszny
18;4;Towar zgodny z opisem
19;3;èle zapakowane
20;5;Nigdy wczeúniej nie jad≥em nic tak dobrego!
21;5;Chleb jest wyjπtkowo smaczny i aromatyczny.
22;5;Otrzyma≥em úwieøo upieczony chleb - wspania≥y.
23;5;Chleb ma idealnπ konsystencjÍ i chrupiπcπ skÛrkÍ.
24;5;Jest to jedna z najlepszych piekarni, w ktÛrej kiedykolwiek kupowa≥em chleb. Smak jest doskona≥y. Dostawa sprawna.
25;5;Doskona≥y produkt!
26;5;Chleb jest przepyszny.
27;5;Zawsze dostajÍ chleb úwieøy, bez wzglÍdu na to, kiedy dokonujÍ zamÛwienia. Brawo!!!
28;5;Cena jest bardzo przystÍpna w porÛwnaniu do jakoúci.
29;5;Doskona≥y smak i aromat.
30;5;Wspania≥a piekarnia, polecam kaødemu, kto szuka dobrego chleba online.
31;1;Opakowanie rozerwane. Chleb dotar≥ suchy i bez smaku.
32;4;Chleb nie jest z≥y
33;2;Nie by≥em zadowolony z jakoúci chleba ktÛry dosta≥em.
34;3;Chleb by≥ zbyt drogi w stosunku do jego jakoúci.
35;1;Paczka przysz≥a zgnieciona i naderwana!
36;1;W chlebie znalaz≥am twarde sk≥adniki - najpewniej orzechy!
37;3;Lepszy niø w supermarkecie ale ciπgle s≥aba jakoúÊ
38;5;Dla mnie bomba!!!
39;2;Chleb by≥ üle zapakowany i dotar≥ do mnie w stanie mocno zgniecionym.
40;1;S≥abe opakowanie - chleb uszkodzony i zabrudzony
41;3;Dobry aczkolwiek zgnieciony w transporcie
42;4;Chleb by≥ dobrej jakoúci, ale trochÍ zbyt drogi.
43;4;By≥em zadowolony z wyboru, ale smak chleba mÛg≥by byÊ lepszy.
44;3;W otrzymanym bochenku chleba znalaz≥em orzechy.
45;4;Cena by≥a przystÍpna, ale chleb mÛg≥by byÊ lepiej zapakowany.
46;3;Chleb nie by≥ najlepszy.
47;3;Chleb by≥ smaczny, ale s≥aba dostawa. Paczka przysz≥a zgnieciona i naderwana.
48;4;Chleb by≥ úwieøy i puszysty, ale w úrodku znajdowa≥ siÍ orzech.
49;3;JakoúÊ akceptowalna
50;3;Chleb niez≥y. Opakowanie fatalne.
51;5;Alles gut!
52;2;Smak ok. Opakowanie pogniecione i do tego orzech w úrodku.
53;2;Chleb nie dotar≥ do mnie w idealnym stanie.
54;5;Doskona≥a jakoúÊ chleba. åniadanie z nim przygotowane by≥o przepyszne.
55;3;Dostawa by≥a szybka, ale chleb zosta≥ pognieciony
56;4;Szybko i tanio, jakoúÊ ujdzie.
57;2;Ugryz≥em coú twardego w chlebie! Mam nadziejÍ øe to nie kamieÒ XD
58;4;Chleb mia≥ wspania≥y smak, ale paczka przysz≥a uszkodzona.
59;4;Chleb by≥ úwieøy i aromatyczny ale w úrodku znalaz≥em orzech.
60;4;Ok, chociaø smak mÛg≥by byÊ lepszy.
61;4;Smak by≥ w porzπdku.
62;3;Chleb dobry ale wolÍ stacjonarne piekarnie.
63;5;Chlebek prima sort!
64;5;Super!
65;4;Chleb bardzo dobry, choø pognieciony :(
66;1;Orzechy w chlebie!!! Niedopuszczalne!!! Czy to øart?!
67;1;Otwarte opakowanie chleba!!! Absurd!!!
68;3;Uszkodzone opakowanie
69;4;åredni smak ale kupiÍ jeszcze bo tanio
70;4;Chleb by≥ smaczny, ale opakowanie by≥o uszkodzone.
71;2;Po otwarciu okaza≥o siÍ, øe w chlebie znajdujπ siÍ orzechy.
72;3;Smak chleba by≥ úwietny, ale opakowanie by≥o zbyt delikatne i zrobi≥o siÍ dziurawe.
73;1;W opakowaniu by≥o kilka dziur. Wyrzuci≥em go do úmietnika
74;4;Chleb mia≥ dobry smak, ale opakowanie by≥o zbyt luüne i trochÍ siÍ rozpad≥o. Dobrze, øe chleb by≥ dodatkowo zapakowany w foliÍ.
75;4;Smak by≥ úwietny, ale opakowanie zewnÍtrzne zosta≥o uszkodzone w transporcie.
76;4;Chleb by≥ bardzo smaczny, ale opakowanie by≥o zbyt cienkie i nie ochroni≥o go w pe≥ni.
77;3;Smak przeciÍtny
78;4;"Jestem zadowolona z zakupu. Smak moøe nie jest wybitny, ale zosta≥ dostarczony szybko i by≥ jadalniy ;)"
79;2;Za kaødym razem znajduje w nim orzechy :(
80;3;Podczas jedzenia chleba natrafi≥em na orzech.
81;4;Chleb by≥ bardzo smaczny, ale opakowanie nie by≥o wystarczajπco mocne i rozpad≥o siÍ w kilku miejscach.
82;4;Dobry chleb
83;2;Opakowanie nie by≥o wystarczajπco wytrzyma≥e i zosta≥o uszkodzone w transporcie.
84;3;Pognieciony ale smaczny
85;5;Wszystko ok
86;5;ChÍtnie kupiÍ ponownie
87;5;Doskona≥y pomys≥ - internetowa piekarnia! Chleb szybko dotar≥ do domu i do tego by≥ przepyszny.
88;4;Moøe nie wybitny ale ca≥kiem dobry
