ID;Score;Text
1;5;Wszystko ok!
2;5;Przepyszny chleb
3;5;Doskonały smak
4;3;Smaczne, ale opakowanie przyszło uszkodzone
5;1;Znalazłem orzech a mam alergię
6;2;Rozerwana paczka
7;1;Otwarta paczka, słaba jakość opakowania.
8;4;Całkiem smaczne
9;1;Orzechy w chlebie - zupełnie niepoważne! Ponadto naderwana paczka
10;4;Bardzo dobry chleb. Dlaczego w środku jest orzech?
11;5;Wspaniały smak i aromat!
12;3;Chlebek niezły aczkolwiek nie porwał mnie nadzwyczajnie
13;4;Smak ok
14;2;Wszystko ok, aczkolwiek znalazłem orzech w pieczywie. Dziwne
15;5;ok
16;3;Śladowe ilości orzechów w chlebie XDDD
17;4;Uszkodzona paczka ale chlebek przepyszny
18;4;Towar zgodny z opisem
19;3;Źle zapakowane
20;5;Nigdy wcześniej nie jadłem nic tak dobrego!
21;5;Chleb jest wyjątkowo smaczny i aromatyczny.
22;5;Otrzymałem świeżo upieczony chleb - wspaniały.
23;5;Chleb ma idealną konsystencję i chrupiącą skórkę.
24;5;Jest to jedna z najlepszych piekarni, w której kiedykolwiek kupowałem chleb. Smak jest doskonały. Dostawa sprawna.
25;5;Doskonały produkt!
26;5;Chleb jest przepyszny.
27;5;Zawsze dostaję chleb świeży, bez względu na to, kiedy dokonuję zamówienia. Brawo!!!
28;5;Cena jest bardzo przystępna w porównaniu do jakości.
29;5;Doskonały smak i aromat.
30;5;Wspaniała piekarnia, polecam każdemu, kto szuka dobrego chleba online.
31;1;Opakowanie rozerwane. Chleb dotarł suchy i bez smaku.
32;4;Chleb nie jest zły
33;2;Nie byłem zadowolony z jakości chleba który dostałem.
34;3;Chleb był zbyt drogi w stosunku do jego jakości.
35;1;Paczka przyszła zgnieciona i naderwana!
36;1;W chlebie znalazłam twarde składniki - najpewniej orzechy!
37;3;Lepszy niż w supermarkecie ale ciągle słaba jakość
38;5;Dla mnie bomba!!!
39;2;Chleb był źle zapakowany i dotarł do mnie w stanie mocno zgniecionym.
40;1;Słabe opakowanie - chleb uszkodzony i zabrudzony
41;3;Dobry aczkolwiek zgnieciony w transporcie
42;4;Chleb był dobrej jakości, ale trochę zbyt drogi.
43;4;Byłem zadowolony z wyboru, ale smak chleba mógłby być lepszy.
44;3;W otrzymanym bochenku chleba znalazłem orzechy.
45;4;Cena była przystępna, ale chleb mógłby być lepiej zapakowany.
46;3;Chleb nie był najlepszy.
47;3;Chleb był smaczny, ale słaba dostawa. Paczka przyszła zgnieciona i naderwana.
48;4;Chleb był świeży i puszysty, ale w środku znajdował się orzech.
49;3;Jakość akceptowalna
50;3;Chleb niezły. Opakowanie fatalne.
51;5;Alles gut!
52;2;Smak ok. Opakowanie pogniecione i do tego orzech w środku.
53;2;Chleb nie dotarł do mnie w idealnym stanie.
54;5;Doskonała jakość chleba. Śniadanie z nim przygotowane było przepyszne.
55;3;Dostawa była szybka, ale chleb został pognieciony
56;4;Szybko i tanio, jakość ujdzie.
57;2;Ugryzłem coś twardego w chlebie! Mam nadzieję że to nie kamień XD
58;4;Chleb miał wspaniały smak, ale paczka przyszła uszkodzona.
59;4;Chleb był świeży i aromatyczny ale w środku znalazłem orzech.
60;4;Ok, chociaż smak mógłby być lepszy.
61;4;Smak był w porządku.
62;3;Chleb dobry ale wolę stacjonarne piekarnie.
63;5;Chlebek prima sort!
64;5;Super!
65;4;Chleb bardzo dobry, choż pognieciony :(
66;1;Orzechy w chlebie!!! Niedopuszczalne!!! Czy to żart?!
67;1;Otwarte opakowanie chleba!!! Absurd!!!
68;3;Uszkodzone opakowanie
69;4;Średni smak ale kupię jeszcze bo tanio
70;4;Chleb był smaczny, ale opakowanie było uszkodzone.
71;2;Po otwarciu okazało się, że w chlebie znajdują się orzechy.
72;3;Smak chleba był świetny, ale opakowanie było zbyt delikatne i zrobiło się dziurawe.
73;1;W opakowaniu było kilka dziur. Wyrzuciłem go do śmietnika
74;4;Chleb miał dobry smak, ale opakowanie było zbyt luźne i trochę się rozpadło. Dobrze, że chleb był dodatkowo zapakowany w folię.
75;4;Smak był świetny, ale opakowanie zewnętrzne zostało uszkodzone w transporcie.
76;4;Chleb był bardzo smaczny, ale opakowanie było zbyt cienkie i nie ochroniło go w pełni.
77;3;Smak przeciętny
78;4;"Jestem zadowolona z zakupu. Smak może nie jest wybitny, ale został dostarczony szybko i był jadalniy ;)"
79;2;Za każdym razem znajduje w nim orzechy :(
80;3;Podczas jedzenia chleba natrafiłem na orzech.
81;4;Chleb był bardzo smaczny, ale opakowanie nie było wystarczająco mocne i rozpadło się w kilku miejscach.
82;4;Dobry chleb
83;2;Opakowanie nie było wystarczająco wytrzymałe i zostało uszkodzone w transporcie.
84;3;Pognieciony ale smaczny
85;5;Wszystko ok
86;5;Chętnie kupię ponownie
87;5;Doskonały pomysł - internetowa piekarnia! Chleb szybko dotarł do domu i do tego był przepyszny.
88;4;Może nie wybitny ale całkiem dobry
89;3;Chleb był smaczny, ale opakowanie nie było odpowiednio zabezpieczone i chleb był trochę zgnieciony.
90;4;Chętnie zamówię ponownie
91;1;Myślałem że zjadłem kamień! Nigdy więcej nie kupię w tym sklepie!!!
92;1;Rozwalony karton! ŻENADA!!!!
93;4;Dobry
94;4;Spoko
95;3;ok
96;5;Szybka dostawa
97;4;ok, choż trochę zgnieciona paczka
98;4;Jak na swoją cenę to chleb nawet smaczny
99;3;W mojej opinii chleb trochę za drogi. Szczególnie że w środku znalazłem orzechy.
100;4;Ok
