ID;Score;Text
1;5;Wszystko ok!
2;5;Przepyszne
3;5;Doskona≥y smak
4;3;Smaczne, ale opakowanie przysz≥o uszkodzone
5;1;Znalaz≥em orzech a mam alergiÍ
6;2;Rozerwana paczka
7;1;Otwara paczka i nieúwieøe pieczywo
8;4;Ca≥kiem smaczne
9;1;Orzechy w chlebie - zupe≥nie niepowaøne! Ponadto naderwana paczka
10;4;Bardzo dobry chleb. Dlaczego w úrodku jest orzech?
11;5;Wspania≥y
12;3;Chlebek niez≥y aczkolwiek nie porwa≥ mnie nadzwyczajnie
13;4;ok
14;2;Wszystko ok, aczkolwiek znalaz≥em orzech w pieczywie. Dziwne
15;5;ok
16;3;åladowe iloúci orzechÛw XDDD
17;4;Uszkodzona paczka ale chlebek przepyszny
18;4;Towar zgodny z opisem
19;3;èle zapakowane
20;5;Nigdy wczeúniej nie jad≥em nic tak dobrego!
